candidate_id,accepted_species,axis,trait_name,raw_value,normalized_value,evidence_quality,evidence_scope,source_group,source_provider,source_url,page_title,source_citation,source_excerpt,source_record_id,source_lineage,lineage_method,name_resolution_lineage,name_match_method,matched_page_name,source_tier,source_type,domain,language,wild_cultivated_cultivar_status,evidence_status,content_sha256,content_sha256_basis,retrieved_at_utc,query,search_rank,inference_rule
f5e940b12d7576bb1fd2eaba,Glyceria declinata,floral_structural_complexity,inflorescence_display,"loose, slender panicle",raceme_spike_panicle,high,species_direct,visible_morphology_rule_checkpoint_20260813,"VicFlora, Royal Botanic Gardens Victoria",https://vicflora.rbg.vic.gov.au/flora/taxon/27aea429-98f2-448a-ac06-d82159e0a6ae,Glyceria declinata,"Walsh (1994), Poaceae, Flora of Victoria 2: 356-627","Inflorescence a loose, slender panicle, often appearing one-sided, 4-40 cm long",vicflora:27aea429-98f2-448a-ac06-d82159e0a6ae:inflorescence,flora_treatment:flora_of_victoria:glyceria_declinata,original_species_treatment_or_publication_lineage,accepted_name_exact,accepted_name_exact,Glyceria declinata,A,official_taxonomic_flora,vicflora.rbg.vic.gov.au,en,wild_species_not_cultivar_limited,accepted_individual_source_backed_audit,c45a3be22b9fa84cde4a5a27301bfc615fe68d7ba0d66caed2a9c53a71c18798,retrieved_original_page_or_pdf_bytes,2026-08-13T15:49:21Z,support2_visible_morphology_original_species_source,,
239deb825d3fcb0f4f426bf0,Crambe maritima,floral_structural_complexity,inflorescence_display,large racemes,raceme_spike_panicle,high,species_direct,visible_morphology_rule_checkpoint_20260813,Cambridge University Botanic Garden,https://www.botanic.cam.ac.uk/the-garden/plant-list/crambe-maritima/,Crambe maritima,Cambridge University Botanic Garden species profile,"Stout, woody, edible stems can reach 75cm in height and bear large racemes of small, white, honey-scented, cruciform flowers.",cambridge-botanic-garden:crambe-maritima:racemes,botanic_garden_profile:cambridge:crambe_maritima,original_species_treatment_or_publication_lineage,accepted_name_exact,accepted_name_exact,Crambe maritima,A,university_botanic_garden_species_profile,botanic.cam.ac.uk,en,wild_species_not_cultivar_limited,accepted_individual_source_backed_audit,d071809a10160a37cc8068d17a8aa38aa8d802d0cbbc55cdf9692badc0af8af5,retrieved_original_page_or_pdf_bytes,2026-08-13T15:49:21Z,support2_visible_morphology_original_species_source,,
61fad4891dcc4b38302eec51,Crambe maritima,floral_structural_complexity,floral_symmetry,aktinomorfni,actinomorphic,high,species_direct,visible_morphology_rule_checkpoint_20260813,"Pladias, Database of the Czech Flora and Vegetation",https://pladias.cz/taxon/data/Crambe%20maritima,Crambe maritima - katran primorsky,Pladias trait sourced to Kvetena Ceske republiky,Symetrie kvetu: aktinomorfni (dve a vice rovin soumernosti),pladias:crambe-maritima:flower-symmetry,provider_treatment:pladias:crambe_maritima,original_species_treatment_or_publication_lineage,accepted_name_exact,accepted_name_exact,Crambe maritima,A,national_flora_trait_database,pladias.cz,en,wild_species_not_cultivar_limited,accepted_individual_source_backed_audit,710120556f9b77c7f18e52ed97d4c8d1f364f0623e5479e78b54a6c89824dcbf,retrieved_original_page_or_pdf_bytes,2026-08-13T15:49:21Z,support2_visible_morphology_original_species_source,,
600bbdedaf0546b6d6ca2868,Herniaria glabra,floral_structural_complexity,inflorescence_display,small cymose axillary clusters,umbel_corymb,high,species_direct,visible_morphology_rule_checkpoint_20260813,World Flora Online / Northeastern Flora,https://www.worldfloraonline.org/taxon/wfo-0000720677,Herniaria glabra L.,Northeastern Flora local description distributed by World Flora Online,fls congested in small cymose axillary (or seemingly lf-opposed) clusters,wfo:wfo-0000720677:northeastern-flora:cymose-clusters,provider_treatment:northeastern_flora:wfo-0000720677,original_species_treatment_or_publication_lineage,accepted_name_exact,accepted_name_exact,Herniaria glabra,A,official_flora_species_treatment,worldfloraonline.org,en,wild_species_not_cultivar_limited,accepted_individual_source_backed_audit,67ec059b4eeece8ecc40a3ad1497b38b3a80a90798c26037905b074203e1a1c1,retrieved_original_page_or_pdf_bytes,2026-08-13T15:49:21Z,support2_visible_morphology_original_species_source,,
56ca9a33a63c9c0ecf96c846,Plumeria obtusa,floral_structural_complexity,flower_size_class,ca. 4 cm in diameter,large,high,species_direct,visible_morphology_rule_checkpoint_20260813,World Flora Online / Flora of China,https://www.worldfloraonline.org/taxon/wfo-0000279164,Plumeria obtusa L.,Flora of China species treatment distributed by World Flora Online,"Corolla white, ca. 4 cm in diam., throat yellow; lobes spreading, slightly recurved.",wfo:wfo-0000279164:flora-of-china:corolla-diameter,provider_treatment:flora_of_china:wfo-0000279164,original_species_treatment_or_publication_lineage,accepted_name_exact,accepted_name_exact,Plumeria obtusa,A,official_flora_species_treatment,worldfloraonline.org,en,wild_species_not_cultivar_limited,accepted_individual_source_backed_audit,dfc5984706fe75dc00a8ac97f8d848004ebb6640032048afe5b56755e9d318f0,retrieved_original_page_or_pdf_bytes,2026-08-13T15:49:21Z,support2_visible_morphology_original_species_source,,
415650b1a249466f6b2906d8,Plumeria obtusa,floral_structural_complexity,tube_depth_class,1.7-2.3 cm,intermediate,high,species_direct,visible_morphology_rule_checkpoint_20260813,World Flora Online / e-Flora of Thailand,https://www.worldfloraonline.org/taxon/wfo-0000279164,Plumeria obtusa L.,e-Flora of Thailand species treatment distributed by World Flora Online,Corolla white with a yellow mouth; tube 1.7-2.3 cm long; lobes 2.3-6 cm long,wfo:wfo-0000279164:eflora-thailand:corolla-tube,provider_treatment:eflora_thailand:wfo-0000279164,original_species_treatment_or_publication_lineage,accepted_name_exact,accepted_name_exact,Plumeria obtusa,A,official_flora_species_treatment,worldfloraonline.org,en,wild_species_not_cultivar_limited,accepted_individual_source_backed_audit,dfc5984706fe75dc00a8ac97f8d848004ebb6640032048afe5b56755e9d318f0,retrieved_original_page_or_pdf_bytes,2026-08-13T15:49:21Z,support2_visible_morphology_original_species_source,,
01079d9629c5623e7a601d07,Plumeria obtusa,floral_structural_complexity,inflorescence_display,terminal corymbose stout cymes,umbel_corymb,high,species_direct,visible_morphology_rule_checkpoint_20260813,University of Kerala Digital Garden,https://www.keralauniversity.ac.in/digital_garden/170.html,Plumeria obtusa L.,University of Kerala Digital Garden species treatment,"Flowers bisexual, white, in terminal corymbose stout cymes",kerala-university-digital-garden:170:inflorescence,university_botanical_garden:kerala:plumeria_obtusa,original_species_treatment_or_publication_lineage,accepted_name_exact,accepted_name_exact,Plumeria obtusa,A,university_botanical_garden_species_profile,keralauniversity.ac.in,en,wild_species_not_cultivar_limited,accepted_individual_source_backed_audit,4fe05c73a9bd780a4ab883536f29303647a15b0667d8696cdc67df3825dd6668,retrieved_original_page_or_pdf_bytes,2026-08-13T15:49:21Z,support2_visible_morphology_original_species_source,,
65bce687b23fb2684a04241d,Odontochilus yakushimensis,floral_structural_complexity,inflorescence_display,1-3 flowers,few_flowered,medium,species_direct,visible_morphology_rule_checkpoint_20260813,Yamakei botanical species guide,https://ymkr-okurimono.sakura.ne.jp/plants/angiosperm/f70202_ran/yksm-hm-aridoshiran.html,Yakushimahimearidoshiran,Photographic Japanese specialist botanical species page,茎の先に1 - 3個の白色の花を穂状花序につける。,ymkr:odontochilus-yakushimensis:one-to-three-flowers,specialist_species_profile:ymkr:odontochilus_yakushimensis,original_species_treatment_or_publication_lineage,accepted_name_exact,accepted_name_exact,Odontochilus yakushimensis,B,specialist_personal_botanical_species_guide,ymkr-okurimono.sakura.ne.jp,en,wild_species_not_cultivar_limited,accepted_individual_source_backed_audit,8a3589d86e375fd5d2096222f0d02cbe70bd516052e9416751b599ea1a345412,retrieved_original_page_or_pdf_bytes,2026-08-13T15:49:21Z,support2_visible_morphology_original_species_source,,
85dc477a957c093289fce66c,Sericolea arfakensis,floral_structural_complexity,inflorescence_display,axillary raceme bearing 2-4 flowers,raceme_spike_panicle,high,species_direct,visible_morphology_rule_checkpoint_20260813,Naturalis / Blumea,https://repository.naturalis.nl/pub/524701/BLUM1982028001006.pdf,A revision of Sericolea Schlechter (Elaeocarpaceae),"van Balgooy (1982), Blumea 28(1): 103-141","Inflorescence an axillary raceme up to 3 cm long, bearing 2-4 flowers",blumea:1982:28:1:sericolea-arfakensis:inflorescence,publication:blumea:1982:28:1:sericolea_revision,original_species_treatment_or_publication_lineage,accepted_name_exact,accepted_name_exact,Sericolea arfakensis,A,primary_taxonomic_revision,repository.naturalis.nl,en,wild_species_not_cultivar_limited,accepted_individual_source_backed_audit,51918f6482176542a36e1395fbee5d1eda5508ef998ac0325446b0eecb9fb9af,retrieved_original_page_or_pdf_bytes,2026-08-13T15:49:21Z,support2_visible_morphology_original_species_source,,
e8d396bdcc1a387b31458dc9,Sericolea arfakensis,flower_colour,flower_primary_color,petals pink or red in vivo,red_pink,high,species_direct,visible_morphology_rule_checkpoint_20260813,Naturalis / Blumea,https://repository.naturalis.nl/pub/524701/BLUM1982028001006.pdf,A revision of Sericolea Schlechter (Elaeocarpaceae),"van Balgooy (1982), Blumea 28(1): 103-141","petals oblong obovate, 2.5-4 X 1-2 mm, base cuneate, apex truncate, weakly 3-lobed, glabrous except for a small tuft of hairs inside at base, pink or red in vivo",blumea:1982:28:1:sericolea-arfakensis:petal-colour,publication:blumea:1982:28:1:sericolea_revision,original_species_treatment_or_publication_lineage,accepted_name_exact,accepted_name_exact,Sericolea arfakensis,A,primary_taxonomic_revision,repository.naturalis.nl,en,wild_species_not_cultivar_limited,accepted_individual_source_backed_audit,51918f6482176542a36e1395fbee5d1eda5508ef998ac0325446b0eecb9fb9af,retrieved_original_page_or_pdf_bytes,2026-08-13T15:49:21Z,support2_visible_morphology_original_species_source,,
